Starting server on port 5000/udp
Using selector: EpollSelector
/tmp/ciscoasa/asa_server.py:293: DeprecationWarning: ssl.wrap_socket() is deprecated, use SSLContext.wrap_socket()
  httpd.socket = ssl.wrap_socket(httpd.socket, certfile=cert, server_side=True)
Starting server on port 8443/tcp, use <Ctrl-C> to stop
{'timestamp': '2024-11-24T01:14:19.499078', 'src_ip': '40.74.250.23', 'payload_printable': '"GET / HTTP/1.0" 200 -'}
{'timestamp': '2024-11-24T01:14:19.710118', 'src_ip': '40.74.250.23', 'payload_printable': '"OPTIONS / HTTP/1.0" - -'}
{'timestamp': '2024-11-24T01:14:19.921805', 'src_ip': '40.74.250.23', 'payload_printable': '"GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0" 404 -'}
Stopping server.
Starting server on port 5000/udp
Using selector: EpollSelector
/tmp/ciscoasa/asa_server.py:293: DeprecationWarning: ssl.wrap_socket() is deprecated, use SSLContext.wrap_socket()
  httpd.socket = ssl.wrap_socket(httpd.socket, certfile=cert, server_side=True)
Starting server on port 8443/tcp, use <Ctrl-C> to stop
{'timestamp': '2024-11-24T20:29:17.862292', 'src_ip': '205.210.31.11', 'payload_printable': '"GET / HTTP/1.1" 200 -'}
{'timestamp': '2024-11-24T20:29:20.871065', 'src_ip': '205.210.31.11', 'payload_printable': 'Request timed out: TimeoutError('The read operation timed out')'}
{'timestamp': '2024-11-24T21:24:36.134349', 'src_ip': '118.194.238.196', 'payload_printable': 'Request timed out: TimeoutError('The read operation timed out')'}
{'timestamp': '2024-11-24T21:24:47.437657', 'src_ip': '118.194.238.196', 'payload_printable': '"GET / HTTP/1.1" 200 -'}
{'timestamp': '2024-11-24T21:24:50.441557', 'src_ip': '118.194.238.196', 'payload_printable': 'Request timed out: TimeoutError('The read operation timed out')'}
{'timestamp': '2024-11-24T21:24:50.929882', 'src_ip': '118.194.238.196', 'payload_printable': '"GET /+CSCOE+/logon.html HTTP/1.1" 302 -'}
{'timestamp': '2024-11-24T21:24:53.932611', 'src_ip': '118.194.238.196', 'payload_printable': 'Request timed out: TimeoutError('The read operation timed out')'}
{'timestamp': '2024-11-24T21:24:54.097101', 'src_ip': '118.194.238.196', 'payload_printable': '"GET /+CSCOE+/logon.html?fcadbadd=1 HTTP/1.1" 200 -'}
{'timestamp': '2024-11-24T21:24:57.100611', 'src_ip': '118.194.238.196', 'payload_printable': 'Request timed out: TimeoutError('The read operation timed out')'}
{'timestamp': '2024-11-24T21:24:57.261879', 'src_ip': '118.194.238.196', 'payload_printable': '"GET /+CSCOE+/blank.html HTTP/1.1" 200 -'}
{'timestamp': '2024-11-24T21:25:00.265305', 'src_ip': '118.194.238.196', 'payload_printable': 'Request timed out: TimeoutError('The read operation timed out')'}
{'timestamp': '2024-11-24T21:25:00.427142', 'src_ip': '118.194.238.196', 'payload_printable': '"GET /favicon.ico HTTP/1.1" 404 -'}
{'timestamp': '2024-11-24T21:25:03.430615', 'src_ip': '118.194.238.196', 'payload_printable': 'Request timed out: TimeoutError('The read operation timed out')'}
{'timestamp': '2024-11-24T21:25:03.591711', 'src_ip': '118.194.238.196', 'payload_printable': '"GET /robots.txt HTTP/1.1" 404 -'}
{'timestamp': '2024-11-24T21:25:06.593614', 'src_ip': '118.194.238.196', 'payload_printable': 'Request timed out: TimeoutError('The read operation timed out')'}
{'timestamp': '2024-11-24T21:25:06.757558', 'src_ip': '118.194.238.196', 'payload_printable': '"GET /sitemap.xml HTTP/1.1" 404 -'}
{'timestamp': '2024-11-24T21:25:09.758247', 'src_ip': '118.194.238.196', 'payload_printable': 'Request timed out: TimeoutError('The read operation timed out')'}
